,Sentence,subject,predicate,arguments,tokens
2526,"Floating Amount = (Notional Quantity per Calculation Period X Floating Price) - USD[38,000?]",[''],['floating floating'],[''],"['Floating', 'Amount', '=', '(', 'Notional', 'Quantity', 'per', 'Calculation', 'Period', 'X', 'Floating', 'Price', ')', '-', 'USD[38,000', '?', ']']"
2527,Sara Shackleton,[''],[''],[''],"['Sara', 'Shackleton']"
2528,What person(s) in London prepares credit for the English and Singapore financial transactions?,['what person(s ) in'],['prepares'],['credit for'],"['What', 'person(s', ')', 'in', 'London', 'prepares', 'credit', 'for', 'the', 'English', 'and', 'Singapore', 'financial', 'transactions', '?']"
2529,"At some point in the not so distant future, the Houson and London credit departments need to speak in order that each understands the ""philosophy"" behind credit analysis for the omnibus and master transactions.",['the houson credit departments each'],['need speak understands'],"['the "" philosophy "" behind']","['At', 'some', 'point', 'in', 'the', 'not', 'so', 'distant', 'future', ',', 'the', 'Houson', 'and', 'London', 'credit', 'departments', 'need', 'to', 'speak', 'in', 'order', 'that', 'each', 'understands', 'the', '""', 'philosophy', '""', 'behind', 'credit', 'analysis', 'for', 'the', 'omnibus', 'and', 'master', 'transactions', '.']"
2530,I look forward to hearing from you.,['i'],['look hearing'],[''],"['I', 'look', 'forward', 'to', 'hearing', 'from', 'you', '.']"
2531,Regards.,[''],[''],[''],"['Regards', '.']"
2532,Sara,[''],[''],[''],['Sara']
2533,ps Congrats on your promotion!,[''],['ps'],['congrats'],"['ps', 'Congrats', 'on', 'your', 'promotion', '!']"
2534,I didn't have a chance to speak with you after the offsite to shake your hand.,['i the offsite'],['have speak shake'],['a chance speak your hand'],"['I', 'did', ""n't"", 'have', 'a', 'chance', 'to', 'speak', 'with', 'you', 'after', 'the', 'offsite', 'to', 'shake', 'your', 'hand', '.']"
2535,Hope you enjoyed your weekend in Houston.,['you'],['hope enjoyed'],['your weekend'],"['Hope', 'you', 'enjoyed', 'your', 'weekend', 'in', 'Houston', '.']"
2536,looks fine,[''],['looks'],[''],"['looks', 'fine']"
2537,Sara Shackleton,[''],[''],[''],"['Sara', 'Shackleton']"
2538,Carlos Alatorre@ENRON,[''],[''],[''],"['Carlos', 'Alatorre@ENRON']"
2539,02/27/2001 06:07 PM,[''],[''],[''],"['02/27/2001', '06:07', 'PM']"
2540,Sara:,[''],[''],[''],"['Sara', ':']"
2541,We need to change the Prod Description fro the LME Product.,['we'],['need change fro'],['the prod description the lme product'],"['We', 'need', 'to', 'change', 'the', 'Prod', 'Description', 'fro', 'the', 'LME', 'Product', '.']"
2542,"The change is mainly on the Settlement Date text, which instead of ""...Two business days after the date of the Transaction..."" shall read as follow:",['the change'],['read'],[''],"['The', 'change', 'is', 'mainly', 'on', 'the', 'Settlement', 'Date', 'text', ',', 'which', 'instead', 'of', '""', '...', 'Two', 'business', 'days', 'after', 'the', 'date', 'of', 'the', 'Transaction', '...', '""', 'shall', 'read', 'as', 'follow', ':']"
2543,For Curr LME LME (Spot) 01Mar01 JPY/USD,['lme lme spot jpy / usd'],[''],[''],"['For', 'Curr', 'LME', 'LME', '(', 'Spot', ')', '01Mar01', 'JPY', '/', 'USD']"
2544,"A currency Transaction with Enron Europe Finance & Trading Limited (""EEFTL"") as agent for Risk Management & Trading Corp. under which either (A) for the case in which Counterparty submits an offer to buy from EEFTL, Counterparty shall receive the Base Currency Amount and shall pay the Foreign Currency Amount, or (B) for the case in which Counterparty submits an offer to sell to EEFTL, Counterparty shall pay the Base Currency Amount and shall receive the Foreign Currency Amount.","['a currency transaction with ( eeftl either counterparty counterparty counterparty , counterparty']",['submits buy receive pay submits sell pay receive'],"['an offer buy the currency amount the currency amount , or b ) an offer sell the currency amount the currency amount']","['A', 'currency', 'Transaction', 'with', 'Enron', 'Europe', 'Finance', '&', 'Trading', 'Limited', '(', '""', 'EEFTL', '""', ')', 'as', 'agent', 'for', 'Risk', 'Management', '&', 'Trading', 'Corp.', 'under', 'which', 'either', '(', 'A', ')', 'for', 'the', 'case', 'in', 'which', 'Counterparty', 'submits', 'an', 'offer', 'to', 'buy', 'from', 'EEFTL', ',', 'Counterparty', 'shall', 'receive', 'the', 'Base', 'Currency', 'Amount', 'and', 'shall', 'pay', 'the', 'Foreign', 'Currency', 'Amount', ',', 'or', '(', 'B', ')', 'for', 'the', 'case', 'in', 'which', 'Counterparty', 'submits', 'an', 'offer', 'to', 'sell', 'to', 'EEFTL', ',', 'Counterparty', 'shall', 'pay', 'the', 'Base', 'Currency', 'Amount', 'and', 'shall', 'receive', 'the', 'Foreign', 'Currency', 'Amount', '.']"
2545,The Base Currency Amount shall equal the volume submitted by the Counterparty via the Website.,['the currency amount by counterparty'],['equal submitted'],['the volume submitted'],"['The', 'Base', 'Currency', 'Amount', 'shall', 'equal', 'the', 'volume', 'submitted', 'by', 'the', 'Counterparty', 'via', 'the', 'Website', '.']"
2546,"The Foreign Currency Amount shall equal the Base Currency Amount, multiplied by the daily London Metal Exchange (LME) fixing rate as published by Reuters on page MTLE on the date of the transaction, modified by the price submitted by the Counterparty via the Website.",['the currency amount by exchange by reuters by price by counterparty'],['equal multiplied fixing published modified submitted'],"['the currency amount , multiplied rate']","['The', 'Foreign', 'Currency', 'Amount', 'shall', 'equal', 'the', 'Base', 'Currency', 'Amount', ',', 'multiplied', 'by', 'the', 'daily', 'London', 'Metal', 'Exchange', '(', 'LME', ')', 'fixing', 'rate', 'as', 'published', 'by', 'Reuters', 'on', 'page', 'MTLE', 'on', 'the', 'date', 'of', 'the', 'transaction', ',', 'modified', 'by', 'the', 'price', 'submitted', 'by', 'the', 'Counterparty', 'via', 'the', 'Website', '.']"
2547,The term of the Transaction shall correspond to the date(s) set forth in the Product description on the Website.,['the term of'],['correspond set'],[''],"['The', 'term', 'of', 'the', 'Transaction', 'shall', 'correspond', 'to', 'the', 'date(s', ')', 'set', 'forth', 'in', 'the', 'Product', 'description', 'on', 'the', 'Website', '.']"
2548,The Settlement date shall be the date(s) set forth in the Product description on the Website.,['the settlement date'],['set'],['the date(s ) set'],"['The', 'Settlement', 'date', 'shall', 'be', 'the', 'date(s', ')', 'set', 'forth', 'in', 'the', 'Product', 'description', 'on', 'the', 'Website', '.']"
2549,The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').,['the price'],['quoted'],[''],"['The', 'price', 'is', 'quoted', 'in', 'JPY', '(', 'the', ""'"", 'Foreign', 'Currency', ""'"", ')', 'per', 'US', 'Dollar', '(', 'the', ""'"", 'Base', 'Currency', ""'"", ')', '.']"
2550,The unit of measure against which the price is quoted shall be US Dollars.,['the unit of the price'],['quoted'],['us dollars'],"['The', 'unit', 'of', 'measure', 'against', 'which', 'the', 'price', 'is', 'quoted', 'shall', 'be', 'US', 'Dollars', '.']"
2551,Please let me know your approval before we make any changes.,['me we'],['let know make'],['your approval any changes'],"['Please', 'let', 'me', 'know', 'your', 'approval', 'before', 'we', 'make', 'any', 'changes', '.']"
2552,Thanks,[''],[''],[''],['Thanks']
2553,Carlos,[''],[''],[''],['Carlos']
2554,I need to have a form filled out that says I don't have health insurance coverage through Enron.,['i that i'],['need have filled says have'],['a form filled insurance coverage'],"['I', 'need', 'to', 'have', 'a', 'form', 'filled', 'out', 'that', 'says', 'I', 'do', ""n't"", 'have', 'health', 'insurance', 'coverage', 'through', 'Enron', '.']"
2555,Can you find out who I need to send it to in HR?,['you i'],['find need send'],['who it'],"['Can', 'you', 'find', 'out', 'who', 'I', 'need', 'to', 'send', 'it', 'to', 'in', 'HR', '?']"
2556,"Thanks,",[''],[''],[''],"['Thanks', ',']"
2557,Kay,[''],[''],[''],['Kay']
2558,Your mom just called and said your dad's surgery will be at 2:30 p.m.,['your mom dad surgery'],['called said'],[''],"['Your', 'mom', 'just', 'called', 'and', 'said', 'your', 'dad', ""'s"", 'surgery', 'will', 'be', 'at', '2:30', 'p.m.']"
2559,"Tuesday, March 20th.",[''],[''],[''],"['Tuesday', ',', 'March', '20th', '.']"
2560,"They will be there by noon on the 20th, and the surgery will last 1.5 hours and then they'll watch him for 2 more hours before they put him into ICU.",['they the surgery they they'],['last watch put'],['1.5 hours him him'],"['They', 'will', 'be', 'there', 'by', 'noon', 'on', 'the', '20th', ',', 'and', 'the', 'surgery', 'will', 'last', '1.5', 'hours', 'and', 'then', 'they', ""'ll"", 'watch', 'him', 'for', '2', 'more', 'hours', 'before', 'they', 'put', 'him', 'into', 'ICU', '.']"
2561,They are hoping he'll only be in the hospital 48 hours.,['they he'],['hoping'],[''],"['They', 'are', 'hoping', 'he', ""'ll"", 'only', 'be', 'in', 'the', 'hospital', '48', 'hours', '.']"
2562,Scott,[''],[''],[''],['Scott']
2563,"Term sheet for draft contract, as requested.",[''],['requested'],[''],"['Term', 'sheet', 'for', 'draft', 'contract', ',', 'as', 'requested', '.']"
2564,I have a change in plans next week.,['i'],['have'],['a change in'],"['I', 'have', 'a', 'change', 'in', 'plans', 'next', 'week', '.']"
2565,"My dad is having surgery in Ft. Worth, so I will be heading that way on Monday.",['my dad i'],['having heading'],['surgery'],"['My', 'dad', 'is', 'having', 'surgery', 'in', 'Ft', '.', 'Worth', ',', 'so', 'I', 'will', 'be', 'heading', 'that', 'way', 'on', 'Monday', '.']"
2566,"I was planning to be on vacation anyway, but I may have some accessibility challenges in Ft. Worth which I would not have had otherwise.",['i i i'],['planning have had'],['some accessibility challenges in which'],"['I', 'was', 'planning', 'to', 'be', 'on', 'vacation', 'anyway', ',', 'but', 'I', 'may', 'have', 'some', 'accessibility', 'challenges', 'in', 'Ft', '.', 'Worth', 'which', 'I', 'would', 'not', 'have', 'had', 'otherwise', '.']"
2567,I will manage client expectations accordingly.,['i'],['manage'],['client expectations'],"['I', 'will', 'manage', 'client', 'expectations', 'accordingly', '.']"
2568,Kay,[''],[''],[''],['Kay']
2569,I hope you don't change your mind about going to the wedding Sunday.,['i you'],['hope change going'],['your mind'],"['I', 'hope', 'you', 'do', ""n't"", 'change', 'your', 'mind', 'about', 'going', 'to', 'the', 'wedding', 'Sunday', '.']"
2570,I plan on taking Michael to the new Star Wars exhibit at the Museum of Fine Arts.,['i'],['plan taking'],['michael'],"['I', 'plan', 'on', 'taking', 'Michael', 'to', 'the', 'new', 'Star', 'Wars', 'exhibit', 'at', 'the', 'Museum', 'of', 'Fine', 'Arts', '.']"
2571,"They showed some kids on TV, and they were quite taken with it.",['they they'],['showed taken'],['some kids'],"['They', 'showed', 'some', 'kids', 'on', 'TV', ',', 'and', 'they', 'were', 'quite', 'taken', 'with', 'it', '.']"
2572,++++++CONFIDENTIALITY NOTICE+++++,[''],[''],[''],"['+', '+', '+', '+', '+', '+', 'CONFIDENTIALITY', 'NOTICE+++++']"
2573,The information in this email may be confidential and/or privileged.,['the information in'],[''],[''],"['The', 'information', 'in', 'this', 'email', 'may', 'be', 'confidential', 'and/or', 'privileged', '.']"
2574,This email is intended to be reviewed by only the individual or organization named above.,['this email by individual'],['intended reviewed named'],[''],"['This', 'email', 'is', 'intended', 'to', 'be', 'reviewed', 'by', 'only', 'the', 'individual', 'or', 'organization', 'named', 'above', '.']"
2575,"If you are not the intended recipient or an authorized representative of the intended recipient, you are hereby notified that any review, dissemination or copying of this email and its attachments, if any, or the information contained herein is prohibited.","['you you any review , dissemination , any , or the information contained']",['intended intended notified contained prohibited'],['the intended recipient or representative herein'],"['If', 'you', 'are', 'not', 'the', 'intended', 'recipient', 'or', 'an', 'authorized', 'representative', 'of', 'the', 'intended', 'recipient', ',', 'you', 'are', 'hereby', 'notified', 'that', 'any', 'review', ',', 'dissemination', 'or', 'copying', 'of', 'this', 'email', 'and', 'its', 'attachments', ',', 'if', 'any', ',', 'or', 'the', 'information', 'contained', 'herein', 'is', 'prohibited', '.']"
2576,"If you have received this email in error, please immediately notify the sender by return email and delete this email from your system.",['you'],['received notify delete'],['this email the sender this email'],"['If', 'you', 'have', 'received', 'this', 'email', 'in', 'error', ',', 'please', 'immediately', 'notify', 'the', 'sender', 'by', 'return', 'email', 'and', 'delete', 'this', 'email', 'from', 'your', 'system', '.']"
2577,Thank You,[''],['thank'],['you'],"['Thank', 'You']"
2578,Kay Mann,[''],[''],[''],"['Kay', 'Mann']"
2579,03/15/2001 04:03 PM,[''],[''],[''],"['03/15/2001', '04:03', 'PM']"
2580,I have a change in plans next week.,['i'],['have'],['a change in'],"['I', 'have', 'a', 'change', 'in', 'plans', 'next', 'week', '.']"
2581,"My dad is having surgery in Ft. Worth, so I will be heading that way on Monday.",['my dad i'],['having heading'],['surgery'],"['My', 'dad', 'is', 'having', 'surgery', 'in', 'Ft', '.', 'Worth', ',', 'so', 'I', 'will', 'be', 'heading', 'that', 'way', 'on', 'Monday', '.']"
2582,"I was planning to be on vacation anyway, but I may have some accessibility challenges in Ft. Worth which I would not have had otherwise.",['i i i'],['planning have had'],['some accessibility challenges in which'],"['I', 'was', 'planning', 'to', 'be', 'on', 'vacation', 'anyway', ',', 'but', 'I', 'may', 'have', 'some', 'accessibility', 'challenges', 'in', 'Ft', '.', 'Worth', 'which', 'I', 'would', 'not', 'have', 'had', 'otherwise', '.']"
2583,I will manage client expectations accordingly.,['i'],['manage'],['client expectations'],"['I', 'will', 'manage', 'client', 'expectations', 'accordingly', '.']"
2584,Kay,[''],[''],[''],['Kay']
2585,I'm not planning to get involved since this is your deal.,['i this'],['planning involved'],['your deal'],"['I', ""'m"", 'not', 'planning', 'to', 'get', 'involved', 'since', 'this', 'is', 'your', 'deal', '.']"
2586,Is that ok with you?,['that'],[''],[''],"['Is', 'that', 'ok', 'with', 'you', '?']"
2587,Lorie Leigh @ ECT,[''],[''],[''],"['Lorie', 'Leigh', '@', 'ECT']"
2588,03/15/2001 04:17 PM,[''],[''],[''],"['03/15/2001', '04:17', 'PM']"
2589,Conference Plus will be hosting this call:,['conference plus'],['hosting'],['this call'],"['Conference', 'Plus', 'will', 'be', 'hosting', 'this', 'call', ':']"
2590,"the date: Thursday, March 22nd, 2001",[''],[''],[''],"['the', 'date', ':', 'Thursday', ',', 'March', '22nd', ',', '2001']"
2591,the number: 1-800-991-9019,[''],[''],[''],"['the', 'number', ':', '1', '-', '800', '-', '991', '-', '9019']"
2592,the passcode: 6871082#,[''],[''],[''],"['the', 'passcode', ':', '6871082', '#']"
2593,the time: 10:00 AM - 11:00 AM CST,[''],[''],[''],"['the', 'time', ':', '10:00', 'AM', '-', '11:00', 'AM', 'CST']"
2594,the place: EB 3143C,[''],[''],[''],"['the', 'place', ':', 'EB', '3143C']"
2595,the subject: Turbine 1 and Turbine 2 Purchase Agreement,[''],[''],[''],"['the', 'subject', ':', 'Turbine', '1', 'and', 'Turbine', '2', 'Purchase', 'Agreement']"
2596,"If you have any problems or questions, please feel free to call me at 713-853-1696.",['you'],['have feel call'],['any problems or questions me'],"['If', 'you', 'have', 'any', 'problems', 'or', 'questions', ',', 'please', 'feel', 'free', 'to', 'call', 'me', 'at', '713', '-', '853', '-', '1696', '.']"
2597,"Thank you,",[''],['thank'],['you'],"['Thank', 'you', ',']"
2598,Lorie Leigh,[''],[''],[''],"['Lorie', 'Leigh']"
2599,"Yes, but this time it is his carotid artery - the one that transports blood to the brain.",['it that'],['transports'],['his carotid artery - one blood'],"['Yes', ',', 'but', 'this', 'time', 'it', 'is', 'his', 'carotid', 'artery', '-', 'the', 'one', 'that', 'transports', 'blood', 'to', 'the', 'brain', '.']"
2600,Big deal kinda stuff.,[''],[''],[''],"['Big', 'deal', 'kinda', 'stuff', '.']"
2601,I hope your dad's surgery goes well!,['i dad surgery'],['hope goes'],[''],"['I', 'hope', 'your', 'dad', ""'s"", 'surgery', 'goes', 'well', '!']"
2602,Is this related to the problems he is having getting around (circulatory?)?,['this he'],['getting'],[''],"['Is', 'this', 'related', 'to', 'the', 'problems', 'he', 'is', 'having', 'getting', 'around', '(', 'circulatory', '?', ')', '?']"
2603,Kathleen,[''],[''],[''],['Kathleen']
2604,Kay Mann,[''],[''],[''],"['Kay', 'Mann']"
2605,03/15/2001 04:11 PM,[''],[''],[''],"['03/15/2001', '04:11', 'PM']"
2606,Kay Mann,[''],[''],[''],"['Kay', 'Mann']"
2607,03/15/2001 04:03 PM,[''],[''],[''],"['03/15/2001', '04:03', 'PM']"
2608,I have a change in plans next week.,['i'],['have'],['a change in'],"['I', 'have', 'a', 'change', 'in', 'plans', 'next', 'week', '.']"
2609,"My dad is having surgery in Ft. Worth, so I will be heading that way on Monday.",['my dad i'],['having heading'],['surgery'],"['My', 'dad', 'is', 'having', 'surgery', 'in', 'Ft', '.', 'Worth', ',', 'so', 'I', 'will', 'be', 'heading', 'that', 'way', 'on', 'Monday', '.']"
2610,"I was planning to be on vacation anyway, but I may have some accessibility challenges in Ft. Worth which I would not have had otherwise.",['i i i'],['planning have had'],['some accessibility challenges in which'],"['I', 'was', 'planning', 'to', 'be', 'on', 'vacation', 'anyway', ',', 'but', 'I', 'may', 'have', 'some', 'accessibility', 'challenges', 'in', 'Ft', '.', 'Worth', 'which', 'I', 'would', 'not', 'have', 'had', 'otherwise', '.']"
2611,I will manage client expectations accordingly.,['i'],['manage'],['client expectations'],"['I', 'will', 'manage', 'client', 'expectations', 'accordingly', '.']"
2612,Kay,[''],[''],[''],['Kay']
2613,"For better or worse, all the folks under the heading ""Origination"" and ""Development"" are ours, although Kathleen has a special role with Development.",['all the folks under kathleen'],['heading has'],['a special role with'],"['For', 'better', 'or', 'worse', ',', 'all', 'the', 'folks', 'under', 'the', 'heading', '""', 'Origination', '""', 'and', '""', 'Development', '""', 'are', 'ours', ',', 'although', 'Kathleen', 'has', 'a', 'special', 'role', 'with', 'Development', '.']"
2614,Kay,[''],[''],[''],['Kay']
2615,FYI - See rows 49-53; columns E-J for our group.,['fyi - see'],['rows'],['49 - 53 e j'],"['FYI', '-', 'See', 'rows', '49', '-', '53', ';', 'columns', 'E', '-', 'J', 'for', 'our', 'group', '.']"
2616,Kathleen,[''],[''],[''],['Kathleen']
2617,Lorie Leigh @ ECT,[''],[''],[''],"['Lorie', 'Leigh', '@', 'ECT']"
2618,03/15/2001 04:44 PM,[''],[''],[''],"['03/15/2001', '04:44', 'PM']"
2619,I received a report from HR and it appears there is conflicting information regarding some of the titles for various employees.,['i it there'],['received appears is conflicting regarding'],['a report from conflicting information regarding'],"['I', 'received', 'a', 'report', 'from', 'HR', 'and', 'it', 'appears', 'there', 'is', 'conflicting', 'information', 'regarding', 'some', 'of', 'the', 'titles', 'for', 'various', 'employees', '.']"
2620,Please verify that the titles are correct for everyone in your group.,['the titles'],['verify'],[''],"['Please', 'verify', 'that', 'the', 'titles', 'are', 'correct', 'for', 'everyone', 'in', 'your', 'group', '.']"
2621,The ones that I made changes to are in red.,['i changes'],['made are'],[''],"['The', 'ones', 'that', 'I', 'made', 'changes', 'to', 'are', 'in', 'red', '.']"
2622,"Thanks,",[''],[''],[''],"['Thanks', ',']"
2623,Paula.,[''],[''],[''],"['Paula', '.']"
2624,I formatted the file so that it would print on one legal size sheet.,['i it'],['formatted print'],['the file'],"['I', 'formatted', 'the', 'file', 'so', 'that', 'it', 'would', 'print', 'on', 'one', 'legal', 'size', 'sheet', '.']"
2625,Please use this new file as opposed to the one I sent earlier.,['i'],['use opposed sent'],['this new file'],"['Please', 'use', 'this', 'new', 'file', 'as', 'opposed', 'to', 'the', 'one', 'I', 'sent', 'earlier', '.']"
2626,Please review the attached org chart for March and submit any changes by noon tomorrow.,[''],['review attached submit'],['the attached org chart any changes'],"['Please', 'review', 'the', 'attached', 'org', 'chart', 'for', 'March', 'and', 'submit', 'any', 'changes', 'by', 'noon', 'tomorrow', '.']"
2627,"It is imperative that all of the information on the attached file is accurate, including titles, as this information is being given directly to John Lavorato and Louise Kitchen.",['it all of including this information'],['attached including given'],[''],"['It', 'is', 'imperative', 'that', 'all', 'of', 'the', 'information', 'on', 'the', 'attached', 'file', 'is', 'accurate', ',', 'including', 'titles', ',', 'as', 'this', 'information', 'is', 'being', 'given', 'directly', 'to', 'John', 'Lavorato', 'and', 'Louise', 'Kitchen', '.']"
2628,"Thanks,",[''],[''],[''],"['Thanks', ',']"
2629,Paula.,[''],[''],[''],"['Paula', '.']"
2630,Here's the version showing revisions.,['the version showing'],['showing'],['revisions'],"['Here', ""'s"", 'the', 'version', 'showing', 'revisions', '.']"
2631,Kay--,[''],[''],[''],['Kay--']
2632,I finally got it to blackline correctly.,['i'],['got blackline'],['it'],"['I', 'finally', 'got', 'it', 'to', 'blackline', 'correctly', '.']"
2633,Here it is.,['it'],[''],[''],"['Here', 'it', 'is', '.']"
2634,Also attached is a sample availability provision (actually 2 different versions).,['a availability provision ( versions'],['attached'],[''],"['Also', 'attached', 'is', 'a', 'sample', 'availability', 'provision', '(', 'actually', '2', 'different', 'versions', ')', '.']"
2635,- redvepco.doc,[''],[''],[''],"['-', 'redvepco.doc']"
2636,- SAMPLE.DOC,[''],[''],[''],"['-', 'SAMPLE.DOC']"
2637,Lorie Leigh @ ECT,[''],[''],[''],"['Lorie', 'Leigh', '@', 'ECT']"
2638,03/15/2001 04:17 PM,[''],[''],[''],"['03/15/2001', '04:17', 'PM']"
2639,Conference Plus will be hosting this call:,['conference plus'],['hosting'],['this call'],"['Conference', 'Plus', 'will', 'be', 'hosting', 'this', 'call', ':']"
2640,"the date: Thursday, March 22nd, 2001",[''],[''],[''],"['the', 'date', ':', 'Thursday', ',', 'March', '22nd', ',', '2001']"
2641,the number: 1-800-991-9019,[''],[''],[''],"['the', 'number', ':', '1', '-', '800', '-', '991', '-', '9019']"
2642,the passcode: 6871082#,[''],[''],[''],"['the', 'passcode', ':', '6871082', '#']"
2643,the time: 10:00 AM - 11:00 AM CST,[''],[''],[''],"['the', 'time', ':', '10:00', 'AM', '-', '11:00', 'AM', 'CST']"
2644,the place: EB 3143C,[''],[''],[''],"['the', 'place', ':', 'EB', '3143C']"
2645,the subject: Turbine 1 and Turbine 2 Purchase Agreement,[''],[''],[''],"['the', 'subject', ':', 'Turbine', '1', 'and', 'Turbine', '2', 'Purchase', 'Agreement']"
2646,"If you have any problems or questions, please feel free to call me at 713-853-1696.",['you'],['have feel call'],['any problems or questions me'],"['If', 'you', 'have', 'any', 'problems', 'or', 'questions', ',', 'please', 'feel', 'free', 'to', 'call', 'me', 'at', '713', '-', '853', '-', '1696', '.']"
2647,"Thank you,",[''],['thank'],['you'],"['Thank', 'you', ',']"
2648,Lorie Leigh 46093,[''],[''],[''],"['Lorie', 'Leigh', '46093']"
2649,Kay Mann,[''],[''],[''],"['Kay', 'Mann']"
2650,02/13/2001 04:13 PM,[''],[''],[''],"['02/13/2001', '04:13', 'PM']"
2651,"Good afternoon,",[''],[''],[''],"['Good', 'afternoon', ',']"
2652,"I'm forwarding a revised development agreement term sheet, showing revisions from your original version.",['i'],['forwarding revised showing'],['a revised agreement term sheet revisions from'],"['I', ""'m"", 'forwarding', 'a', 'revised', 'development', 'agreement', 'term', 'sheet', ',', 'showing', 'revisions', 'from', 'your', 'original', 'version', '.']"
2653,We look forward to seeing you soon.,['we'],['look seeing'],['you'],"['We', 'look', 'forward', 'to', 'seeing', 'you', 'soon', '.']"
2654,"Thanks,",[''],[''],[''],"['Thanks', ',']"
2655,Kay,[''],[''],[''],['Kay']
2656,Peggy Banczak is the ENA lawyer who handles Mexico.,['peggy banczak who'],['handles'],['the ena lawyer handles mexico'],"['Peggy', 'Banczak', 'is', 'the', 'ENA', 'lawyer', 'who', 'handles', 'Mexico', '.']"
2657,John Schwartzenburg@ENRON_DEVELOPMENT,[''],[''],[''],"['John', 'Schwartzenburg@ENRON_DEVELOPMENT']"
2658,03/16/2001 09:22 AM,[''],[''],[''],"['03/16/2001', '09:22', 'AM']"
2659,I do not think the prior e-mail got through to Kay.,['i the prior e - mail'],['think got'],[''],"['I', 'do', 'not', 'think', 'the', 'prior', 'e', '-', 'mail', 'got', 'through', 'to', 'Kay', '.']"
2660,Are either of you familiar with this project?,['either of'],[''],[''],"['Are', 'either', 'of', 'you', 'familiar', 'with', 'this', 'project', '?']"
2661,We have had no contact with the ENA/Enron Mexico commercial or legal people and I don't want to bust any structuring goals.,['we i'],['had want bust'],['no contact with any structuring goals'],"['We', 'have', 'had', 'no', 'contact', 'with', 'the', 'ENA', '/', 'Enron', 'Mexico', 'commercial', 'or', 'legal', 'people', 'and', 'I', 'do', ""n't"", 'want', 'to', 'bust', 'any', 'structuring', 'goals', '.']"
2662,Our project manager (Scott Laidlaw) and engineer (Harry Okabayashi) want to issue a tasking letter to procure engineering services on this project to support the ENA work.,['our project manager ( laidlaw ) and engineer'],['engineer want issue procure support'],['a tasking letter engineering services the ena work'],"['Our', 'project', 'manager', '(', 'Scott', 'Laidlaw', ')', 'and', 'engineer', '(', 'Harry', 'Okabayashi', ')', 'want', 'to', 'issue', 'a', 'tasking', 'letter', 'to', 'procure', 'engineering', 'services', 'on', 'this', 'project', 'to', 'support', 'the', 'ENA', 'work', '.']"
2663,I now understand that someone at ENA/Enron Mexico/Enron Wholesale has signed an EPC contract with ABB for this project.,['i someone at'],['understand signed'],['an epc contract with for'],"['I', 'now', 'understand', 'that', 'someone', 'at', 'ENA', '/', 'Enron', 'Mexico', '/', 'Enron', 'Wholesale', 'has', 'signed', 'an', 'EPC', 'contract', 'with', 'ABB', 'for', 'this', 'project', '.']"
2664,"I am not in the office today, so please include Renee Alfaro on your response.",['i'],['include'],['renee alfaro'],"['I', 'am', 'not', 'in', 'the', 'office', 'today', ',', 'so', 'please', 'include', 'Renee', 'Alfaro', 'on', 'your', 'response', '.']"
2665,JWVS,[''],[''],[''],['JWVS']
2666,Hello Janice:,[''],[''],[''],"['Hello', 'Janice', ':']"
2667,I enjoyed your recent e-mail but was sorry to hear about your dad.,['i'],['enjoyed hear'],['your recent e - mail'],"['I', 'enjoyed', 'your', 'recent', 'e', '-', 'mail', 'but', 'was', 'sorry', 'to', 'hear', 'about', 'your', 'dad', '.']"
2668,It sounds as though his health has deteriorated significantly.,['it his health'],['sounds deteriorated'],[''],"['It', 'sounds', 'as', 'though', 'his', 'health', 'has', 'deteriorated', 'significantly', '.']"
2669,These are always difficult times.,['these'],[''],['difficult times'],"['These', 'are', 'always', 'difficult', 'times', '.']"
2670,"As I watched my mother and father's health deteriorate and ultimately watched them die, it is a very defining time in our lives.",['i them it'],['watched watched die'],['my mother and father a defining time in'],"['As', 'I', 'watched', 'my', 'mother', 'and', 'father', ""'s"", 'health', 'deteriorate', 'and', 'ultimately', 'watched', 'them', 'die', ',', 'it', 'is', 'a', 'very', 'defining', 'time', 'in', 'our', 'lives', '.']"
2671,But we can be very thankful to have such great parents and to have had the privilege to have been raised in such loving homes.,['we'],['have had raised'],['such great parents the privilege raised'],"['But', 'we', 'can', 'be', 'very', 'thankful', 'to', 'have', 'such', 'great', 'parents', 'and', 'to', 'have', 'had', 'the', 'privilege', 'to', 'have', 'been', 'raised', 'in', 'such', 'loving', 'homes', '.']"
2672,Sounds as though Eric has done very well as SMSU.,['eric'],['sounds done'],[''],"['Sounds', 'as', 'though', 'Eric', 'has', 'done', 'very', 'well', 'as', 'SMSU', '.']"
2673,He is joining an excellent company.,['he'],['joining'],['an excellent company'],"['He', 'is', 'joining', 'an', 'excellent', 'company', '.']"
2674,I am also delighted to hear that he will continue his education working toward an MBA.,['i he'],['hear continue working'],['his education working'],"['I', 'am', 'also', 'delighted', 'to', 'hear', 'that', 'he', 'will', 'continue', 'his', 'education', 'working', 'toward', 'an', 'MBA', '.']"
