,Sentence,tokens
1281,"The punishment for suicide murder should be death or arrest before the murder, not during and not after.","['The', 'punishment', 'for', 'suicide', 'murder', 'should', 'be', 'death', 'or', 'arrest', 'before', 'the', 'murder', ',', 'not', 'during', 'and', 'not', 'after', '.']"
1282,"After every world war, the rules of international law have changed, and the same will happen after the present one.","['After', 'every', 'world', 'war', ',', 'the', 'rules', 'of', 'international', 'law', 'have', 'changed', ',', 'and', 'the', 'same', 'will', 'happen', 'after', 'the', 'present', 'one', '.']"
1283,"But during the twilight zone, a lot of harm can be done.","['But', 'during', 'the', 'twilight', 'zone', ',', 'a', 'lot', 'of', 'harm', 'can', 'be', 'done', '.']"
1284,The picture I described here is not pretty.,"['The', 'picture', 'I', 'described', 'here', 'is', 'not', 'pretty', '.']"
1285,What can we do about it?,"['What', 'can', 'we', 'do', 'about', 'it', '?']"
1286,"In the short run, only fight and win.","['In', 'the', 'short', 'run', ',', 'only', 'fight', 'and', 'win', '.']"
1287,"In the long run, only educate the next generation and open it to the world.","['In', 'the', 'long', 'run', ',', 'only', 'educate', 'the', 'next', 'generation', 'and', 'open', 'it', 'to', 'the', 'world', '.']"
1288,The inner circles can and must be destroyed by force.,"['The', 'inner', 'circles', 'can', 'and', 'must', 'be', 'destroyed', 'by', 'force', '.']"
1289,The outer circle cannot be eliminated by force.,"['The', 'outer', 'circle', 'can', 'not', 'be', 'eliminated', 'by', 'force', '.']"
1290,"Here we need financial starvation of the organizing elite, more power to women, more education, counter-propaganda, boycott whenever feasible and access to Western media, internet and the international scene.","['Here', 'we', 'need', 'financial', 'starvation', 'of', 'the', 'organizing', 'elite', ',', 'more', 'power', 'to', 'women', ',', 'more', 'education', ',', 'counter', '-', 'propaganda', ',', 'boycott', 'whenever', 'feasible', 'and', 'access', 'to', 'Western', 'media', ',', 'internet', 'and', 'the', 'international', 'scene', '.']"
1291,"Above all, we need a total absolute unity and determination of the civilized world against all three circles of evil.","['Above', 'all', ',', 'we', 'need', 'a', 'total', 'absolute', 'unity', 'and', 'determination', 'of', 'the', 'civilized', 'world', 'against', 'all', 'three', 'circles', 'of', 'evil', '.']"
1292,"Allow me, for a moment, to depart from my alleged role as a taxi driver and return to science.","['Allow', 'me', ',', 'for', 'a', 'moment', ',', 'to', 'depart', 'from', 'my', 'alleged', 'role', 'as', 'a', 'taxi', 'driver', 'and', 'return', 'to', 'science', '.']"
1293,"When you have a malignant tumor, you may remove the tumor itself surgically.","['When', 'you', 'have', 'a', 'malignant', 'tumor', ',', 'you', 'may', 'remove', 'the', 'tumor', 'itself', 'surgically', '.']"
1294,"You may also starve it by preventing new blood from reaching it from other parts of the body, thereby preventing new ""supplies"" from expanding the tumor.","['You', 'may', 'also', 'starve', 'it', 'by', 'preventing', 'new', 'blood', 'from', 'reaching', 'it', 'from', 'other', 'parts', 'of', 'the', 'body', ',', 'thereby', 'preventing', 'new', '""', 'supplies', '""', 'from', 'expanding', 'the', 'tumor', '.']"
1295,"If you want to be sure, it is best to do both.","['If', 'you', 'want', 'to', 'be', 'sure', ',', 'it', 'is', 'best', 'to', 'do', 'both', '.']"
1296,"But before you fight and win, by force or otherwise, you have to realize that you are in a war, and this may take Europe a few more years.","['But', 'before', 'you', 'fight', 'and', 'win', ',', 'by', 'force', 'or', 'otherwise', ',', 'you', 'have', 'to', 'realize', 'that', 'you', 'are', 'in', 'a', 'war', ',', 'and', 'this', 'may', 'take', 'Europe', 'a', 'few', 'more', 'years', '.']"
1297,"In order to win, it is necessary to first eliminate the terrorist regimes, so that no Government in the world will serve as a safe haven for these people.","['In', 'order', 'to', 'win', ',', 'it', 'is', 'necessary', 'to', 'first', 'eliminate', 'the', 'terrorist', 'regimes', ',', 'so', 'that', 'no', 'Government', 'in', 'the', 'world', 'will', 'serve', 'as', 'a', 'safe', 'haven', 'for', 'these', 'people', '.']"
1298,"I do not want to comment here on whether the American-led attack on Iraq was justified from the point of view of weapons of mass destruction or any other pre-war argument, but I can look at the post-war map of Western Asia.","['I', 'do', 'not', 'want', 'to', 'comment', 'here', 'on', 'whether', 'the', 'American', '-', 'led', 'attack', 'on', 'Iraq', 'was', 'justified', 'from', 'the', 'point', 'of', 'view', 'of', 'weapons', 'of', 'mass', 'destruction', 'or', 'any', 'other', 'pre', '-', 'war', 'argument', ',', 'but', 'I', 'can', 'look', 'at', 'the', 'post', '-', 'war', 'map', 'of', 'Western', 'Asia', '.']"
1299,"Now that Afghanistan, Iraq and Libya are out, two and a half terrorist states remain: Iran, Syria and Lebanon, the latter being a Syrian colony.","['Now', 'that', 'Afghanistan', ',', 'Iraq', 'and', 'Libya', 'are', 'out', ',', 'two', 'and', 'a', 'half', 'terrorist', 'states', 'remain', ':', 'Iran', ',', 'Syria', 'and', 'Lebanon', ',', 'the', 'latter', 'being', 'a', 'Syrian', 'colony', '.']"
1300,Perhaps Sudan should be added to the list.,"['Perhaps', 'Sudan', 'should', 'be', 'added', 'to', 'the', 'list', '.']"
1301,"As a result of the conquest of Afghanistan and Iraq, both Iran and Syria are now totally surrounded by territories unfriendly to them.","['As', 'a', 'result', 'of', 'the', 'conquest', 'of', 'Afghanistan', 'and', 'Iraq', ',', 'both', 'Iran', 'and', 'Syria', 'are', 'now', 'totally', 'surrounded', 'by', 'territories', 'unfriendly', 'to', 'them', '.']"
1302,"Iran is encircled by Afghanistan, by the Gulf States, Iraq and the Moslem republics of the former Soviet Union.","['Iran', 'is', 'encircled', 'by', 'Afghanistan', ',', 'by', 'the', 'Gulf', 'States', ',', 'Iraq', 'and', 'the', 'Moslem', 'republics', 'of', 'the', 'former', 'Soviet', 'Union', '.']"
1303,"Syria is surrounded by Turkey, Iraq, Jordan and Israel.","['Syria', 'is', 'surrounded', 'by', 'Turkey', ',', 'Iraq', ',', 'Jordan', 'and', 'Israel', '.']"
1304,This is a significant strategic change and it applies strong pressure on the terrorist countries.,"['This', 'is', 'a', 'significant', 'strategic', 'change', 'and', 'it', 'applies', 'strong', 'pressure', 'on', 'the', 'terrorist', 'countries', '.']"
1305,It is not surprising that Iran is so active in trying to incite a Shiite uprising in Iraq.,"['It', 'is', 'not', 'surprising', 'that', 'Iran', 'is', 'so', 'active', 'in', 'trying', 'to', 'incite', 'a', 'Shiite', 'uprising', 'in', 'Iraq', '.']"
1306,"I do not know if the American plan was actually to encircle both Iran and Syria, but that is the resulting situation.","['I', 'do', 'not', 'know', 'if', 'the', 'American', 'plan', 'was', 'actually', 'to', 'encircle', 'both', 'Iran', 'and', 'Syria', ',', 'but', 'that', 'is', 'the', 'resulting', 'situation', '.']"
1307,"In my humble opinion, the number one danger to the world today is Iran and its regime.","['In', 'my', 'humble', 'opinion', ',', 'the', 'number', 'one', 'danger', 'to', 'the', 'world', 'today', 'is', 'Iran', 'and', 'its', 'regime', '.']"
1308,It definitely has ambitions to rule vast areas and to expand in all directions.,"['It', 'definitely', 'has', 'ambitions', 'to', 'rule', 'vast', 'areas', 'and', 'to', 'expand', 'in', 'all', 'directions', '.']"
1309,It has an ideology which claims supremacy over Western culture.,"['It', 'has', 'an', 'ideology', 'which', 'claims', 'supremacy', 'over', 'Western', 'culture', '.']"
1310,It is ruthless.,"['It', 'is', 'ruthless', '.']"
1311,"It has proven that it can execute elaborate terrorist acts without leaving too many traces, using Iranian Embassies.","['It', 'has', 'proven', 'that', 'it', 'can', 'execute', 'elaborate', 'terrorist', 'acts', 'without', 'leaving', 'too', 'many', 'traces', ',', 'using', 'Iranian', 'Embassies', '.']"
1312,It is clearly trying to develop nuclear weapons.,"['It', 'is', 'clearly', 'trying', 'to', 'develop', 'nuclear', 'weapons', '.']"
1313,"Its so-called moderates and conservatives play their own virtuoso version of the ""good-cop versus bad-cop"" game.","['Its', 'so', '-', 'called', 'moderates', 'and', 'conservatives', 'play', 'their', 'own', 'virtuoso', 'version', 'of', 'the', '""', 'good', '-', 'cop', 'versus', 'bad', '-', 'cop', '""', 'game', '.']"
1314,"Iran sponsors Syrian terrorism, it is certainly behind much of the action in Iraq, it is fully funding the Hezbollah and, through it, the Palestinian Hamas and Islamic Jihad; it performed acts of terror at least in Europe and in South America and probably also in Uzbekistan and Saudi Arabia and it truly leads a multi-national terror consortium, which includes, as minor players, Syria, Lebanon and certain Shiite elements in Iraq.","['Iran', 'sponsors', 'Syrian', 'terrorism', ',', 'it', 'is', 'certainly', 'behind', 'much', 'of', 'the', 'action', 'in', 'Iraq', ',', 'it', 'is', 'fully', 'funding', 'the', 'Hezbollah', 'and', ',', 'through', 'it', ',', 'the', 'Palestinian', 'Hamas', 'and', 'Islamic', 'Jihad', ';', 'it', 'performed', 'acts', 'of', 'terror', 'at', 'least', 'in', 'Europe', 'and', 'in', 'South', 'America', 'and', 'probably', 'also', 'in', 'Uzbekistan', 'and', 'Saudi', 'Arabia', 'and', 'it', 'truly', 'leads', 'a', 'multi', '-', 'national', 'terror', 'consortium', ',', 'which', 'includes', ',', 'as', 'minor', 'players', ',', 'Syria', ',', 'Lebanon', 'and', 'certain', 'Shiite', 'elements', 'in', 'Iraq', '.']"
1315,"Nevertheless, most European countries still trade with Iran, try to appease it and refuse to read the clear signals.","['Nevertheless', ',', 'most', 'European', 'countries', 'still', 'trade', 'with', 'Iran', ',', 'try', 'to', 'appease', 'it', 'and', 'refuse', 'to', 'read', 'the', 'clear', 'signals', '.']"
1316,In order to win the war it is also necessary to dry the financial resources of the terror conglomerate.,"['In', 'order', 'to', 'win', 'the', 'war', 'it', 'is', 'also', 'necessary', 'to', 'dry', 'the', 'financial', 'resources', 'of', 'the', 'terror', 'conglomerate', '.']"
1317,"It is pointless to try to understand the subtle differences between the Sunni terror of Al Qaeda and Hamas and the Shiite terror of Hezbollah, Sadr and other Iranian-inspired enterprises.","['It', 'is', 'pointless', 'to', 'try', 'to', 'understand', 'the', 'subtle', 'differences', 'between', 'the', 'Sunni', 'terror', 'of', 'Al', 'Qaeda', 'and', 'Hamas', 'and', 'the', 'Shiite', 'terror', 'of', 'Hezbollah', ',', 'Sadr', 'and', 'other', 'Iranian', '-', 'inspired', 'enterprises', '.']"
1318,"When it serves their business needs, all of them collaborate beautifully.","['When', 'it', 'serves', 'their', 'business', 'needs', ',', 'all', 'of', 'them', 'collaborate', 'beautifully', '.']"
1319,"It is crucial to stop Saudi and other financial support of the outer circle, which is the fertile breeding ground of terror.","['It', 'is', 'crucial', 'to', 'stop', 'Saudi', 'and', 'other', 'financial', 'support', 'of', 'the', 'outer', 'circle', ',', 'which', 'is', 'the', 'fertile', 'breeding', 'ground', 'of', 'terror', '.']"
1320,"It is important to monitor all donations from the Western World to Islamic organizations, to monitor the finances of international relief organizations and to react with forceful economic measures to any small sign of financial aid to any of the three circles of terrorism.","['It', 'is', 'important', 'to', 'monitor', 'all', 'donations', 'from', 'the', 'Western', 'World', 'to', 'Islamic', 'organizations', ',', 'to', 'monitor', 'the', 'finances', 'of', 'international', 'relief', 'organizations', 'and', 'to', 'react', 'with', 'forceful', 'economic', 'measures', 'to', 'any', 'small', 'sign', 'of', 'financial', 'aid', 'to', 'any', 'of', 'the', 'three', 'circles', 'of', 'terrorism', '.']"
1321,"It is also important to act decisively against the campaign of lies and fabrications and to monitor those Western media who collaborate with it out of naivety, financial interests or ignorance.","['It', 'is', 'also', 'important', 'to', 'act', 'decisively', 'against', 'the', 'campaign', 'of', 'lies', 'and', 'fabrications', 'and', 'to', 'monitor', 'those', 'Western', 'media', 'who', 'collaborate', 'with', 'it', 'out', 'of', 'naivety', ',', 'financial', 'interests', 'or', 'ignorance', '.']"
1322,"Above all, never surrender to terror.","['Above', 'all', ',', 'never', 'surrender', 'to', 'terror', '.']"
1323,"No one will ever know whether the recent elections in Spain would have yielded a different result, if not for the train bombings a few days earlier.","['No', 'one', 'will', 'ever', 'know', 'whether', 'the', 'recent', 'elections', 'in', 'Spain', 'would', 'have', 'yielded', 'a', 'different', 'result', ',', 'if', 'not', 'for', 'the', 'train', 'bombings', 'a', 'few', 'days', 'earlier', '.']"
1324,But it really does not matter.,"['But', 'it', 'really', 'does', 'not', 'matter', '.']"
1325,What matters is that the terrorists believe that they caused the result and that they won by driving Spain out of Iraq.,"['What', 'matters', 'is', 'that', 'the', 'terrorists', 'believe', 'that', 'they', 'caused', 'the', 'result', 'and', 'that', 'they', 'won', 'by', 'driving', 'Spain', 'out', 'of', 'Iraq', '.']"
1326,"The Spanish story will surely end up being extremely costly to other European countries, including France, who is now expelling inciting preachers and forbidding veils and including others who sent troops to Iraq.","['The', 'Spanish', 'story', 'will', 'surely', 'end', 'up', 'being', 'extremely', 'costly', 'to', 'other', 'European', 'countries', ',', 'including', 'France', ',', 'who', 'is', 'now', 'expelling', 'inciting', 'preachers', 'and', 'forbidding', 'veils', 'and', 'including', 'others', 'who', 'sent', 'troops', 'to', 'Iraq', '.']"
1327,"In the long run, Spain itself will pay even more.","['In', 'the', 'long', 'run', ',', 'Spain', 'itself', 'will', 'pay', 'even', 'more', '.']"
1328,Is the solution a democratic Arab world?,"['Is', 'the', 'solution', 'a', 'democratic', 'Arab', 'world', '?']"
1329,"If by democracy we mean free elections but also free press, free speech, a functioning judicial system, civil liberties, equality to women, free international travel, exposure to international media and ideas, laws against racial incitement and against defamation, and avoidance of lawless behavior regarding hospitals, places of worship and children, then yes, democracy is the solution.","['If', 'by', 'democracy', 'we', 'mean', 'free', 'elections', 'but', 'also', 'free', 'press', ',', 'free', 'speech', ',', 'a', 'functioning', 'judicial', 'system', ',', 'civil', 'liberties', ',', 'equality', 'to', 'women', ',', 'free', 'international', 'travel', ',', 'exposure', 'to', 'international', 'media', 'and', 'ideas', ',', 'laws', 'against', 'racial', 'incitement', 'and', 'against', 'defamation', ',', 'and', 'avoidance', 'of', 'lawless', 'behavior', 'regarding', 'hospitals', ',', 'places', 'of', 'worship', 'and', 'children', ',', 'then', 'yes', ',', 'democracy', 'is', 'the', 'solution', '.']"
1330,"If democracy is just free elections, it is likely that the most fanatic regime will be elected, the one whose incitement and fabrications are the most inflammatory.","['If', 'democracy', 'is', 'just', 'free', 'elections', ',', 'it', 'is', 'likely', 'that', 'the', 'most', 'fanatic', 'regime', 'will', 'be', 'elected', ',', 'the', 'one', 'whose', 'incitement', 'and', 'fabrications', 'are', 'the', 'most', 'inflammatory', '.']"
1331,"We have seen it already in Algeria and, to a certain extent, in Turkey.","['We', 'have', 'seen', 'it', 'already', 'in', 'Algeria', 'and', ',', 'to', 'a', 'certain', 'extent', ',', 'in', 'Turkey', '.']"
1332,"It will happen again, if the ground is not prepared very carefully.","['It', 'will', 'happen', 'again', ',', 'if', 'the', 'ground', 'is', 'not', 'prepared', 'very', 'carefully', '.']"
1333,"On the other hand, a certain transition democracy, as in Jordan, may be a better temporary solution, paving the way for the real thing, perhaps in the same way that an immediate sudden democracy did not work in Russia and would not have worked in China.","['On', 'the', 'other', 'hand', ',', 'a', 'certain', 'transition', 'democracy', ',', 'as', 'in', 'Jordan', ',', 'may', 'be', 'a', 'better', 'temporary', 'solution', ',', 'paving', 'the', 'way', 'for', 'the', 'real', 'thing', ',', 'perhaps', 'in', 'the', 'same', 'way', 'that', 'an', 'immediate', 'sudden', 'democracy', 'did', 'not', 'work', 'in', 'Russia', 'and', 'would', 'not', 'have', 'worked', 'in', 'China', '.']"
1334,I have no doubt that the civilized world will prevail.,"['I', 'have', 'no', 'doubt', 'that', 'the', 'civilized', 'world', 'will', 'prevail', '.']"
1335,"But the longer it takes us to understand the new landscape of this war, the more costly and painful the victory will be.","['But', 'the', 'longer', 'it', 'takes', 'us', 'to', 'understand', 'the', 'new', 'landscape', 'of', 'this', 'war', ',', 'the', 'more', 'costly', 'and', 'painful', 'the', 'victory', 'will', 'be', '.']"
1336,"Europe, more than any other region, is the key.","['Europe', ',', 'more', 'than', 'any', 'other', 'region', ',', 'is', 'the', 'key', '.']"
1337,"Its understandable recoil from wars, following the horrors of World War II, may cost thousands of additional innocent lives, before the tide will turn.""","['Its', 'understandable', 'recoil', 'from', 'wars', ',', 'following', 'the', 'horrors', 'of', 'World', 'War', 'II', ',', 'may', 'cost', 'thousands', 'of', 'additional', 'innocent', 'lives', ',', 'before', 'the', 'tide', 'will', 'turn', '.', '""']"
1338,Zawahiri was associated with a faction of the Egyptian Islamic Jihad known as the Vanguards of Conquest.,"['Zawahiri', 'was', 'associated', 'with', 'a', 'faction', 'of', 'the', 'Egyptian', 'Islamic', 'Jihad', 'known', 'as', 'the', 'Vanguards', 'of', 'Conquest', '.']"
1339,Zawahiri and the Vanguards of Conquest were seeking to recreate Mohammed's taking of mecca by a small band through violent attacks on Egyptian leaders.,"['Zawahiri', 'and', 'the', 'Vanguards', 'of', 'Conquest', 'were', 'seeking', 'to', 'recreate', 'Mohammed', ""'s"", 'taking', 'of', 'mecca', 'by', 'a', 'small', 'band', 'through', 'violent', 'attacks', 'on', 'Egyptian', 'leaders', '.']"
1340,"By 1998, Zawahiri had determined that the Egyptian Islamic Jihad should focus on its struggle against the United States and hold off on further attacks against the Egyptian regime.","['By', '1998', ',', 'Zawahiri', 'had', 'determined', 'that', 'the', 'Egyptian', 'Islamic', 'Jihad', 'should', 'focus', 'on', 'its', 'struggle', 'against', 'the', 'United', 'States', 'and', 'hold', 'off', 'on', 'further', 'attacks', 'against', 'the', 'Egyptian', 'regime', '.']"
1341,A key question is how they acquired the anthrax strain first isolated by the Texas Veterinary Medical Diagnostic Lab in 1980.,"['A', 'key', 'question', 'is', 'how', 'they', 'acquired', 'the', 'anthrax', 'strain', 'first', 'isolated', 'by', 'the', 'Texas', 'Veterinary', 'Medical', 'Diagnostic', 'Lab', 'in', '1980', '.']"
1342,"According to senior counter terrorism officials, both here and abroad, among the supporters of these militant islamists were people who blended into society and were available to act when another part of the network requested it.","['According', 'to', 'senior', 'counter', 'terrorism', 'officials', ',', 'both', 'here', 'and', 'abroad', ',', 'among', 'the', 'supporters', 'of', 'these', 'militant', 'islamists', 'were', 'people', 'who', 'blended', 'into', 'society', 'and', 'were', 'available', 'to', 'act', 'when', 'another', 'part', 'of', 'the', 'network', 'requested', 'it', '.']"
1343,"Al Qaeda, Anthrax and Ayman: Means, Motive, Modus Operandi and Opportunity","['Al', 'Qaeda', ',', 'Anthrax', 'and', 'Ayman', ':', 'Means', ',', 'Motive', ',', 'Modus', 'Operandi', 'and', 'Opportunity']"
1344,Homeland Security,"['Homeland', 'Security']"
1345,"In early June 2003, a Central Intelligence Agency (""CIA"") report publicly disclosed that the reason for Mohammed Atta's and Zacarias Moussaoui's inquiries into cropdusters was for the contemplated use in dispersing biological agents such as anthrax.","['In', 'early', 'June', '2003', ',', 'a', 'Central', 'Intelligence', 'Agency', '(', '""', 'CIA', '""', ')', 'report', 'publicly', 'disclosed', 'that', 'the', 'reason', 'for', 'Mohammed', 'Atta', ""'s"", 'and', 'Zacarias', 'Moussaoui', ""'s"", 'inquiries', 'into', 'cropdusters', 'was', 'for', 'the', 'contemplated', 'use', 'in', 'dispersing', 'biological', 'agents', 'such', 'as', 'anthrax', '.']"
1346,"An early September 2003 Newsweek article included a rumor by a Taliban source that at a meeting in April 2003 Bin Laden was planning an ""unbelievable"" biological attack, the plans for which had suffered a setback upon the arrest of Khalid Shaikh Mohammed (""KSM"").","['An', 'early', 'September', '2003', 'Newsweek', 'article', 'included', 'a', 'rumor', 'by', 'a', 'Taliban', 'source', 'that', 'at', 'a', 'meeting', 'in', 'April', '2003', 'Bin', 'Laden', 'was', 'planning', 'an', '""', 'unbelievable', '""', 'biological', 'attack', ',', 'the', 'plans', 'for', 'which', 'had', 'suffered', 'a', 'setback', 'upon', 'the', 'arrest', 'of', 'Khalid', 'Shaikh', 'Mohammed', '(', '""', 'KSM', '""', ')', '.']"
1347,"He had been captured the previous month in Rawalpindi, Pakistan.","['He', 'had', 'been', 'captured', 'the', 'previous', 'month', 'in', 'Rawalpindi', ',', 'Pakistan', '.']"
1348,"In November 2003, a report by a UN Panel of experts concluded that Al Qaeda is determined to use chemical and biological weapons and is restrained only by technical difficulties.","['In', 'November', '2003', ',', 'a', 'report', 'by', 'a', 'UN', 'Panel', 'of', 'experts', 'concluded', 'that', 'Al', 'Qaeda', 'is', 'determined', 'to', 'use', 'chemical', 'and', 'biological', 'weapons', 'and', 'is', 'restrained', 'only', 'by', 'technical', 'difficulties', '.']"
1349,"In a statement issued June 16, 2004, the 9/11 Commission Staff concluded that ""Al Qaeda had an ambitious biological weapons program and was making advances in its ability to produce anthrax prior to September 11.","['In', 'a', 'statement', 'issued', 'June', '16', ',', '2004', ',', 'the', '9/11', 'Commission', 'Staff', 'concluded', 'that', '""', 'Al', 'Qaeda', 'had', 'an', 'ambitious', 'biological', 'weapons', 'program', 'and', 'was', 'making', 'advances', 'in', 'its', 'ability', 'to', 'produce', 'anthrax', 'prior', 'to', 'September', '11', '.']"
1350,"According to Director of Central Intelligence George Tenet, al Qaeda’s ability to conduct an anthrax attack is one of the most immediate threats the United States is likely to face.""","['According', 'to', 'Director', 'of', 'Central', 'Intelligence', 'George', 'Tenet', ',', 'al', 'Qaeda', '’s', 'ability', 'to', 'conduct', 'an', 'anthrax', 'attack', 'is', 'one', 'of', 'the', 'most', 'immediate', 'threats', 'the', 'United', 'States', 'is', 'likely', 'to', 'face', '.', '""']"
1351,"On August 9, 2004, it was announced that in the Spring of 2001, a man named El-Shukrijumah, also known as Jafar the Pilot, who was part of a ""second wave,"" had been casing New York City helicopters.","['On', 'August', '9', ',', '2004', ',', 'it', 'was', 'announced', 'that', 'in', 'the', 'Spring', 'of', '2001', ',', 'a', 'man', 'named', 'El', '-', 'Shukrijumah', ',', 'also', 'known', 'as', 'Jafar', 'the', 'Pilot', ',', 'who', 'was', 'part', 'of', 'a', '""', 'second', 'wave', ',', '""', 'had', 'been', 'casing', 'New', 'York', 'City', 'helicopters', '.']"
1352,Photographs from a seized computer disc included the controls and the locks on the door between the passengers and pilot.,"['Photographs', 'from', 'a', 'seized', 'computer', 'disc', 'included', 'the', 'controls', 'and', 'the', 'locks', 'on', 'the', 'door', 'between', 'the', 'passengers', 'and', 'pilot', '.']"
1353,"In a bulletin, the FBI noted that the surveillance might relate to a plot to disperse a chemical or biological weapon.","['In', 'a', 'bulletin', ',', 'the', 'FBI', 'noted', 'that', 'the', 'surveillance', 'might', 'relate', 'to', 'a', 'plot', 'to', 'disperse', 'a', 'chemical', 'or', 'biological', 'weapon', '.']"
1354,The CIA reportedly has been quietly building a case that the anthrax mailings were an international plot.,"['The', 'CIA', 'reportedly', 'has', 'been', 'quietly', 'building', 'a', 'case', 'that', 'the', 'anthrax', 'mailings', 'were', 'an', 'international', 'plot', '.']"
1355,This is old news.,"['This', 'is', 'old', 'news', '.']"
1356,"It's just no longer bureaucratically impolite to openly contest the FBI's (former) theory about a lone, American scientist.","['It', ""'s"", 'just', 'no', 'longer', 'bureaucratically', 'impolite', 'to', 'openly', 'contest', 'the', 'FBI', ""'s"", '(', 'former', ')', 'theory', 'about', 'a', 'lone', ',', 'American', 'scientist', '.']"
1357,"Many people have argued that a US-based Al Qaeda operative is behind the earlier Fall 2001 anthrax mailings in the US, and that the mailings served as a threat and warning.","['Many', 'people', 'have', 'argued', 'that', 'a', 'US', '-', 'based', 'Al', 'Qaeda', 'operative', 'is', 'behind', 'the', 'earlier', 'Fall', '2001', 'anthrax', 'mailings', 'in', 'the', 'US', ',', 'and', 'that', 'the', 'mailings', 'served', 'as', 'a', 'threat', 'and', 'warning', '.']"
1358,"Princeton islamist scholar Bernard Lewis has explained that while islamists may disagree about whether killing innocents is sanctioned by the laws of jihad, extremists like Zawahiri agree that notice must be given before biochemical weapons are used.","['Princeton', 'islamist', 'scholar', 'Bernard', 'Lewis', 'has', 'explained', 'that', 'while', 'islamists', 'may', 'disagree', 'about', 'whether', 'killing', 'innocents', 'is', 'sanctioned', 'by', 'the', 'laws', 'of', 'jihad', ',', 'extremists', 'like', 'Zawahiri', 'agree', 'that', 'notice', 'must', 'be', 'given', 'before', 'biochemical', 'weapons', 'are', 'used', '.']"
1359,"The Prophet's guidance, says Michael Scheuer, an al-Qaeda analyst who recently retired from the CIA and once headed its Bin Laden unit, ""was always, Before you attack someone, warn them very clearly..."" The anthrax mailings followed the pattern of letters they sent in January 1997 to newspaper branches in Washington, D.C. and New York City, as well as symbolic targets.","['The', 'Prophet', ""'s"", 'guidance', ',', 'says', 'Michael', 'Scheuer', ',', 'an', 'al', '-', 'Qaeda', 'analyst', 'who', 'recently', 'retired', 'from', 'the', 'CIA', 'and', 'once', 'headed', 'its', 'Bin', 'Laden', 'unit', ',', '""', 'was', 'always', ',', 'Before', 'you', 'attack', 'someone', ',', 'warn', 'them', 'very', 'clearly', '...', '""', 'The', 'anthrax', 'mailings', 'followed', 'the', 'pattern', 'of', 'letters', 'they', 'sent', 'in', 'January', '1997', 'to', 'newspaper', 'branches', 'in', 'Washington', ',', 'D.C.', 'and', 'New', 'York', 'City', ',', 'as', 'well', 'as', 'symbolic', 'targets', '.']"
1360,The letter bombs were sent in connection with the detention of the blind sheik Abdel Rahman and those responsible for the earlier World Trade Center bombing in 1993.,"['The', 'letter', 'bombs', 'were', 'sent', 'in', 'connection', 'with', 'the', 'detention', 'of', 'the', 'blind', 'sheik', 'Abdel', 'Rahman', 'and', 'those', 'responsible', 'for', 'the', 'earlier', 'World', 'Trade', 'Center', 'bombing', 'in', '1993', '.']"
1361,"Handwritten notes and files on a laptop seized upon the capture of KSM, Al Qaeda's #3, included a feasible anthrax production plan using a spray dryer and addressed the recruitment of necessary expertise.","['Handwritten', 'notes', 'and', 'files', 'on', 'a', 'laptop', 'seized', 'upon', 'the', 'capture', 'of', 'KSM', ',', 'Al', 'Qaeda', ""'s"", '#', '3', ',', 'included', 'a', 'feasible', 'anthrax', 'production', 'plan', 'using', 'a', 'spray', 'dryer', 'and', 'addressed', 'the', 'recruitment', 'of', 'necessary', 'expertise', '.']"
1362,"What your morning paper did not tell you, however, was that the CIA seized a similar disc from Ayman Zawahiri's right-hand, Ahmed Salama Mabruk, 5 years earlier.","['What', 'your', 'morning', 'paper', 'did', 'not', 'tell', 'you', ',', 'however', ',', 'was', 'that', 'the', 'CIA', 'seized', 'a', 'similar', 'disc', 'from', 'Ayman', 'Zawahiri', ""'s"", 'right', '-', 'hand', ',', 'Ahmed', 'Salama', 'Mabruk', ',', '5', 'years', 'earlier', '.']"
1363,The computer disk was confiscated from him during his arrest by the CIA in Azerbaijan and handed over to the Egyptian authorities.,"['The', 'computer', 'disk', 'was', 'confiscated', 'from', 'him', 'during', 'his', 'arrest', 'by', 'the', 'CIA', 'in', 'Azerbaijan', 'and', 'handed', 'over', 'to', 'the', 'Egyptian', 'authorities', '.']"
1364,"Mabruk, at the time, was the head of Jihad's military operations.","['Mabruk', ',', 'at', 'the', 'time', ',', 'was', 'the', 'head', 'of', 'Jihad', ""'s"", 'military', 'operations', '.']"
1365,There is a risk that observers underestimate the time that Al Qaeda has had to make progress in such recruitment and research and development.,"['There', 'is', 'a', 'risk', 'that', 'observers', 'underestimate', 'the', 'time', 'that', 'Al', 'Qaeda', 'has', 'had', 'to', 'make', 'progress', 'in', 'such', 'recruitment', 'and', 'research', 'and', 'development', '.']"
1366,"Some may still think that even in the final stages of the 9/11 plot, Zacarias Moussaoui was going to fly a 5th plane into the Capitol or White House.","['Some', 'may', 'still', 'think', 'that', 'even', 'in', 'the', 'final', 'stages', 'of', 'the', '9/11', 'plot', ',', 'Zacarias', 'Moussaoui', 'was', 'going', 'to', 'fly', 'a', '5th', 'plane', 'into', 'the', 'Capitol', 'or', 'White', 'House', '.']"
